fmun_cod,fmun,ano,mes,regiao,hom_doloso,lesao_corp_morte,latrocinio,hom_por_interv_policial,tentat_hom,lesao_corp_dolosa,estupro,hom_culposo,lesao_corp_culposa,roubo_transeunte,roubo_celular,roubo_em_coletivo,roubo_veiculo,roubo_carga,roubo_comercio,roubo_residencia,roubo_banco,roubo_cx_eletronico,roubo_conducao_saque,roubo_apos_saque,roubo_bicicleta,outros_roubos,furto_veiculos,furto_transeunte,furto_coletivo,furto_celular,furto_bicicleta,outros_furtos,sequestro,extorsao,sequestro_relampago,estelionato,apreensao_drogas
3300100,Angra dos Reis,2014,1,Costa Verde,11,0,0,1,2,96,7,4,37,5,1,1,8,0,4,0,0,0,0,0,0,5,18,3,3,11,0,98,0,0,0,21,35
3300159,Aperibé,2014,1,Noroeste Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300209,Araruama,2014,1,Baixadas Litorâneas,2,0,0,0,6,69,7,1,45,6,1,0,9,0,3,2,0,0,0,0,0,2,16,2,1,10,0,76,0,2,0,18,13
3300225,Areal,2014,1,Centro-Sul Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300233,Armação dos Búzios,2014,1,Baixadas Litorâneas,2,0,0,0,0,44,6,0,26,5,1,0,2,0,0,0,0,0,0,0,0,20,9,9,2,7,0,74,0,0,0,4,16
3300258,Arraial do Cabo,2014,1,Baixadas Litorâneas,0,0,0,0,0,32,2,0,6,1,0,0,2,0,0,0,0,0,0,0,0,6,3,3,0,1,0,39,0,0,0,8,15
3300308,Barra do Piraí,2014,1,Médio Paraíba,1,0,0,0,3,52,5,0,7,2,0,0,1,1,1,0,0,0,0,0,0,2,5,0,1,5,0,27,0,0,0,4,12
3300407,Barra Mansa,2014,1,Médio Paraíba,5,0,0,0,6,62,4,0,18,3,0,0,4,0,9,1,0,0,0,0,0,1,20,4,0,11,0,87,0,0,0,5,19
3300456,Belford Roxo,2014,1,Região Metropolitana,29,0,0,0,7,256,11,2,45,173,1,8,73,23,10,2,0,0,0,3,0,14,27,18,3,10,0,112,0,2,0,29,35
3300506,Bom Jardim,2014,1,Região Serrana,0,0,0,0,0,7,1,0,2,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,1,0,0,6,0,0,0,3,4
3300605,Bom Jesus do Itabapoana,2014,1,Noroeste Fluminense,0,0,0,0,0,23,2,0,6,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,20,0,0,0,1,9
3300704,Cabo Frio,2014,1,Baixadas Litorâneas,9,0,0,0,12,119,9,4,81,34,0,1,15,1,8,2,0,0,0,0,0,118,34,57,6,17,0,194,0,0,2,27,51
3300803,Cachoeiras de Macacu,2014,1,Região Metropolitana,2,0,0,0,5,31,2,1,22,1,0,0,0,1,1,1,0,0,0,0,0,3,4,0,1,1,0,21,0,1,0,7,5
3300902,Cambuci,2014,1,Noroeste Fluminense,0,0,0,0,0,6,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,2
3300936,Carapebus,2014,1,Norte Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3300951,Comendador Levy Gasparian,2014,1,Centro-Sul Fluminense,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3301009,Campos dos Goytacazes,2014,1,Norte Fluminense,18,0,0,0,33,193,20,6,78,89,3,6,26,3,12,2,1,2,0,2,0,13,56,55,19,8,0,165,0,0,0,45,95
