fmun_cod;fmun;ano;mes;regiao;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;feminicidio;letalidade_violenta;tentat_hom;tentativa_feminicidio;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;ameaca
3300100;Angra dos Reis;2026;1;Interior;2;0;0;2;1;0;3;0;0;76;12;6;25;3;0;0;3;1;0;1;0;0;0;0;0;0;1;10;7;1;22;1;38;0;0;0;111;36;11;19;98
3300159;Aperibé;2026;1;Interior;0;0;0;0;0;0;0;0;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3;0;0;0;1;0;0;0;0;1;11;8;2;5
3300209;Araruama;2026;1;Interior;1;0;0;1;0;0;1;3;1;54;5;2;33;3;5;0;8;2;0;0;0;0;0;0;0;0;0;6;0;0;9;0;59;0;5;0;102;30;2;21;58
3300225;Areal;2026;1;Interior;0;0;0;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;6;4;3;1;11
3300233;Armação dos Búzios;2026;1;Interior;1;0;0;1;0;0;1;1;0;23;2;1;6;4;2;0;6;4;0;0;1;0;0;0;0;0;0;4;6;0;13;1;42;0;1;0;55;21;2;14;34
3300258;Arraial do Cabo;2026;1;Interior;1;0;0;1;0;0;1;2;0;26;3;1;8;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;7;0;24;0;4;0;27;13;3;8;17
3300308;Barra do Piraí;2026;1;Interior;1;0;0;1;0;0;1;0;0;28;3;0;3;1;0;0;1;0;0;0;1;0;0;0;0;0;1;2;1;0;3;0;25;0;0;0;30;33;16;10;43
3300407;Barra Mansa;2026;1;Interior;3;0;0;3;0;0;3;10;0;52;7;3;9;2;0;0;2;1;0;0;1;0;0;0;0;0;0;2;4;0;1;0;55;0;1;0;84;37;10;24;76
3300456;Belford Roxo;2026;1;Baixada Fluminense;14;0;0;14;5;0;19;14;1;170;10;2;34;53;40;7;100;100;3;6;1;0;0;0;0;0;10;27;4;0;12;0;46;0;2;0;111;36;3;28;137
3300506;Bom Jardim;2026;1;Interior;1;0;0;1;0;0;1;0;0;7;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;5;0;1;0;9;9;2;3;18
