fmun_cod,municipio,regiao
3300100,Angra dos Reis,Costa Verde
3300159,Aperibé,Noroeste Fluminense
3300209,Araruama,Baixadas Litorâneas
3300225,Areal,Centro-Sul Fluminense
3300233,Armação dos Búzios,Baixadas Litorâneas
3300258,Arraial do Cabo,Baixadas Litorâneas
3300308,Barra do Piraí,Médio Paraíba
3300407,Barra Mansa,Médio Paraíba
3300456,Belford Roxo,Região Metropolitana
3300506,Bom Jardim,Região Serrana
3300605,Bom Jesus do Itabapoana,Noroeste Fluminense
3300704,Cabo Frio,Baixadas Litorâneas
3300803,Cachoeiras de Macacu,Região Metropolitana
3300902,Cambuci,Noroeste Fluminense
3300936,Carapebus,Norte Fluminense
3300951,Comendador Levy Gasparian,Centro-Sul Fluminense
3301009,Campos dos Goytacazes,Norte Fluminense
3301108,Cantagalo,Região Serrana
3301157,Cardoso Moreira,Norte Fluminense
3301207,Carmo,Região Serrana
3301306,Casimiro de Abreu,Baixadas Litorâneas
3301405,Conceição de Macabu,Norte Fluminense
3301504,Cordeiro,Região Serrana
3301603,Duas Barras,Região Serrana
3301702,Duque de Caxias,Região Metropolitana
3301801,Engenheiro Paulo de Frontin,Centro-Sul Fluminense
3301850,Guapimirim,Região Metropolitana
3301876,Iguaba Grande,Baixadas Litorâneas
3301900,Itaboraí,Região Metropolitana
3302007,Itaguaí,Região Metropolitana
3302056,Italva,Noroeste Fluminense
3302106,Itaocara,Noroeste Fluminense
3302205,Itaperuna,Noroeste Fluminense
3302254,Itatiaia,Médio Paraíba
3302270,Japeri,Região Metropolitana
3302304,Laje do Muriaé,Noroeste Fluminense
3302403,Macaé,Norte Fluminense
3302452,Macuco,Região Serrana
3302502,Magé,Região Metropolitana
3302601,Mangaratiba,Costa Verde
3302700,Maricá,Região Metropolitana
3302809,Mendes,Centro-Sul Fluminense
3302858,Mesquita,Região Metropolitana
3302908,Miguel Pereira,Centro-Sul Fluminense
3303005,Miracema,Noroeste Fluminense
3303104,Natividade,Noroeste Fluminense
3303203,Nilópolis,Região Metropolitana
3303302,Niterói,Região Metropolitana
3303401,Nova Friburgo,Região Serrana
3303500,Nova Iguaçu,Região Metropolitana
3303609,Paracambi,Região Metropolitana
3303708,Paraíba do Sul,Centro-Sul Fluminense
3303807,Paraty,Costa Verde
3303856,Paty do Alferes,Centro-Sul Fluminense
3303906,Petrópolis,Região Serrana
3303955,Pinheiral,Médio Paraíba
3304003,Piraí,Médio Paraíba
3304102,Porciúncula,Noroeste Fluminense
3304110,Porto Real,Médio Paraíba
3304128,Quatis,Médio Paraíba
3304144,Queimados,Região Metropolitana
3304151,Quissamã,Norte Fluminense
3304201,Resende,Médio Paraíba
3304300,Rio Bonito,Região Metropolitana
3304409,Rio Claro,Médio Paraíba
3304508,Rio das Flores,Médio Paraíba
3304524,Rio das Ostras,Baixadas Litorâneas
3304557,Rio de Janeiro,Região Metropolitana
3304607,Santa Maria Madalena,Região Serrana
3304706,Santo Antônio de Pádua,Noroeste Fluminense
3304755,São Francisco de Itabapoana,Norte Fluminense
3304805,São Fidélis,Norte Fluminense
3304904,São Gonçalo,Região Metropolitana
3305000,São João da Barra,Norte Fluminense
3305109,São João de Meriti,Região Metropolitana
3305133,São José de Ubá,Noroeste Fluminense
3305158,São José do Vale do Rio Preto,Região Serrana
3305208,São Pedro da Aldeia,Baixadas Litorâneas
3305307,São Sebastião do Alto,Região Serrana
3305406,Sapucaia,Centro-Sul Fluminense
3305505,Saquarema,Baixadas Litorâneas
3305554,Seropédica,Região Metropolitana
3305604,Silva Jardim,Baixadas Litorâneas
3305703,Sumidouro,Região Serrana
3305752,Tanguá,Região Metropolitana
3305802,Teresópolis,Região Serrana
3305901,Trajano de Moraes,Região Serrana
3306008,Três Rios,Centro-Sul Fluminense
3306107,Valença,Médio Paraíba
3306156,Varre-Sai,Noroeste Fluminense
3306206,Vassouras,Centro-Sul Fluminense
3306305,Volta Redonda,Médio Paraíba
