fmun_cod,ano,populacao
3300100,2014,184940
3300159,2014,10882
3300209,2014,120948
3300225,2014,11879
3300233,2014,30439
3300258,2014,28866
3300308,2014,96568
3300407,2014,179697
3300456,2014,479386
3300506,2014,26126
3300605,2014,35896
3300704,2014,204486
3300803,2014,55967
3300902,2014,14849
3300936,2014,14713
3300951,2014,8245
3301009,2014,480648
3301108,2014,19792
3301157,2014,12578
3301207,2014,18074
3301306,2014,39414
3301405,2014,22006
3301504,2014,20965
3301603,2014,11096
3301702,2014,878402
3301801,2014,13566
3301850,2014,55626
3301876,2014,25354
3301900,2014,227168
3302007,2014,117374
3302056,2014,14489
3302106,2014,22824
3302205,2014,98521
3302254,2014,29996
3302270,2014,99141
3302304,2014,7341
3302403,2014,229624
3302452,2014,5380
3302502,2014,233634
3302601,2014,40008
3302700,2014,143111
3302809,2014,18086
3302858,2014,170473
3302908,2014,24829
3303005,2014,26724
3303104,2014,15040
3303203,2014,158299
3303302,2014,495470
3303401,2014,184460
3303500,2014,806177
3303609,2014,49120
3303708,2014,42159
3303807,2014,39965
3303856,2014,26758
3303906,2014,298017
3303955,2014,23691
3304003,2014,27579
3304102,2014,18293
3304110,2014,17970
3304128,2014,13415
3304144,2014,142709
3304151,2014,22261
3304201,2014,124316
3304300,2014,57284
3304409,2014,17768
3304508,2014,8838
3304524,2014,127171
3304557,2014,6453682
3304607,2014,10253
3304706,2014,41108
3304755,2014,41343
3304805,2014,37710
3304904,2014,1031903
3305000,2014,34273
3305109,2014,460711
3305133,2014,7175
3305158,2014,20812
3305208,2014,95318
3305307,2014,9033
3305406,2014,17608
3305505,2014,80915
3305554,2014,82090
3305604,2014,21336
3305703,2014,15099
3305752,2014,32140
3305802,2014,171482
3305901,2014,10348
3306008,2014,78998
3306107,2014,73445
3306156,2014,9966
3306206,2014,35275
3306305,2014,262259
3300100,2015,188276
3300159,2015,11023
3300209,2015,122865
3300225,2015,11970
3300233,2015,31067
3300258,2015,29097
3300308,2015,96865
3300407,2015,179915
3300456,2015,481127
3300506,2015,26278
3300605,2015,35964
3300704,2015,208451
3300803,2015,56290
3300902,2015,14836
3300936,2015,15008
3300951,2015,8250
3301009,2015,483970
3301108,2015,19759
3301157,2015,12558
3301207,2015,18200
3301306,2015,40305
3301405,2015,22163
3301504,2015,21063
3301603,2015,11121
3301702,2015,882729
3301801,2015,13626
3301850,2015,56515
3301876,2015,25901
3301900,2015,229007
3302007,2015,119143
3302056,2015,14569
3302106,2015,22779
3302205,2015,99021
3302254,2015,30240
3302270,2015,99863
3302304,2015,7298
3302403,2015,234628
3302452,2015,5398
3302502,2015,234809
3302601,2015,40779
3302700,2015,146549
3302809,2015,18099
3302858,2015,170751
3302908,2015,24842
3303005,2015,26665
3303104,2015,15013
3303203,2015,158309
3303302,2015,496696
3303401,2015,184786
3303500,2015,807492
3303609,2015,49521
3303708,2015,42356
3303807,2015,40478
3303856,2015,26818
3303906,2015,298142
3303955,2015,23887
3304003,2015,27838
3304102,2015,18059
3304110,2015,18266
3304128,2015,13543
3304144,2015,143632
3304151,2015,22700
3304201,2015,125214
3304300,2015,57615
3304409,2015,17826
3304508,2015,8892
3304524,2015,131976
3304557,2015,6476631
3304607,2015,10225
3304706,2015,41178
3304755,2015,41291
3304805,2015,37703
3304904,2015,1038081
3305000,2015,34583
3305109,2015,460625
3305133,2015,7206
3305158,2015,20916
3305208,2015,96920
3305307,2015,9054
3305406,2015,17606
3305505,2015,82359
3305554,2015,82892
3305604,2015,21307
3305703,2015,15127
3305752,2015,32426
3305802,2015,173060
3305901,2015,10350
3306008,2015,79264
3306107,2015,73725
3306156,2015,10402
3306206,2015,35432
3306305,2015,262970
3300100,2016,191504
3300159,2016,11160
3300209,2016,124940
3300225,2016,12058
3300233,2016,31674
3300258,2016,29077
3300308,2016,97152
3300407,2016,180126
3300456,2016,494141
3300506,2016,26424
3300605,2016,36031
3300704,2016,212289
3300803,2016,56603
3300902,2016,14824
3300936,2016,15293
3300951,2016,8255
3301009,2016,487186
3301108,2016,19727
3301157,2016,12538
3301207,2016,18322
3301306,2016,41167
3301405,2016,22315
3301504,2016,21158
3301603,2016,11145
3301702,2016,886917
3301801,2016,13521
3301850,2016,57105
3301876,2016,26430
3301900,2016,230786
3302007,2016,120855
3302056,2016,14647
3302106,2016,22736
3302205,2016,99504
3302254,2016,30475
3302270,2016,100562
3302304,2016,7257
3302403,2016,239471
3302452,2016,5417
3302502,2016,236319
3302601,2016,41557
3302700,2016,149876
3302809,2016,18111
3302858,2016,171020
3302908,2016,24855
3303005,2016,26607
3303104,2016,14986
3303203,2016,158319
3303302,2016,497883
3303401,2016,185102
3303500,2016,797435
3303609,2016,50071
3303708,2016,42737
3303807,2016,40975
3303856,2016,26939
3303906,2016,298158
3303955,2016,24076
3304003,2016,28088
3304102,2016,18156
3304110,2016,18552
3304128,2016,13666
3304144,2016,144525
3304151,2016,23125
3304201,2016,126084
3304300,2016,57963
3304409,2016,17850
3304508,2016,8943
3304524,2016,136626
3304557,2016,6498837
3304607,2016,10198
3304706,2016,41246
3304755,2016,41240
3304805,2016,37696
3304904,2016,1044058
3305000,2016,34884
3305109,2016,460541
3305133,2016,7236
3305158,2016,21017
3305208,2016,98470
3305307,2016,9075
3305406,2016,17604
3305505,2016,83750
3305554,2016,83667
3305604,2016,21279
3305703,2016,15153
3305752,2016,32703
3305802,2016,174587
3305901,2016,10351
3306008,2016,79230
3306107,2016,73997
3306156,2016,10500
3306206,2016,35622
3306305,2016,263659
3300100,2017,194619
3300159,2017,11292
3300209,2017,126742
3300225,2017,12143
3300233,2017,32260
3300258,2017,29304
3300308,2017,97460
3300407,2017,179451
3300456,2017,495783
3300506,2017,26566
3300605,2017,36068
3300704,2017,216030
3300803,2017,57048
3300902,2017,15124
3300936,2017,15568
3300951,2017,8336
3301009,2017,490288
3301108,2017,19697
3301157,2017,12519
3301207,2017,18264
3301306,2017,41999
3301405,2017,22461
3301504,2017,21250
3301603,2017,11169
3301702,2017,890997
3301801,2017,13576
3301850,2017,57921
3301876,2017,26936
3301900,2017,232394
3302007,2017,122369
3302056,2017,14723
3302106,2017,22694
3302205,2017,99997
3302254,2017,30703
3302270,2017,101237
3302304,2017,7217
3302403,2017,244139
3302452,2017,5434
3302502,2017,237420
3302601,2017,42415
3302700,2017,153008
3302809,2017,18123
3302858,2017,171280
3302908,2017,24871
3303005,2017,26551
3303104,2017,14960
3303203,2017,158329
3303302,2017,499028
3303401,2017,185381
3303500,2017,798647
3303609,2017,50447
3303708,2017,42922
3303807,2017,41454
3303856,2017,26991
3303906,2017,298235
3303955,2017,24282
3304003,2017,28222
3304102,2017,18248
3304110,2017,18829
3304128,2017,13785
3304144,2017,145386
3304151,2017,23535
3304201,2017,126923
3304300,2017,58272
3304409,2017,17988
3304508,2017,8984
3304524,2017,141117
3304557,2017,6520266
3304607,2017,10172
3304706,2017,41312
3304755,2017,41191
3304805,2017,37689
3304904,2017,1049826
3305000,2017,35174
3305109,2017,460461
3305133,2017,6953
3305158,2017,21114
3305208,2017,99906
3305307,2017,9094
3305406,2017,17765
3305505,2017,85175
3305554,2017,84416
3305604,2017,21253
3305703,2017,15191
3305752,2017,32970
3305802,2017,176060
3305901,2017,10352
3306008,2017,79402
3306107,2017,74237
3306156,2017,10597
3306206,2017,35768
3306305,2017,265201
3300100,2018,200407
3300159,2018,11612
3300209,2018,130439
3300225,2018,12471
3300233,2018,33240
3300258,2018,30096
3300308,2018,99969
3300407,2018,183976
3300456,2018,508614
3300506,2018,27269
3300605,2018,36985
3300704,2018,222528
3300803,2018,58560
3300902,2018,15496
3300936,2018,16039
3300951,2018,8544
3301009,2018,503424
3301108,2018,20177
3301157,2018,12826
3301207,2018,18755
3301306,2018,43295
3301405,2018,23064
3301504,2018,21806
3301603,2018,11454
3301702,2018,914383
3301801,2018,13929
3301850,2018,59613
3301876,2018,27762
3301900,2018,238695
3302007,2018,125913
3302056,2018,15113
3302106,2018,23247
3302205,2018,102626
3302254,2018,31537
3302270,2018,103960
3302304,2018,7386
3302403,2018,251631
3302452,2018,5574
3302502,2018,243657
3302601,2018,43689
3302700,2018,157789
3302809,2018,18578
